timestamp_s,mode,voltage_V,current_A,power_W
1040.94,TRANSIT,5.1519999504089355,1.6319999694824219,8.408063888549805
1041.97,TRANSIT,5.1519999504089355,1.6239999532699585,8.36684799194336
1042.96,TRANSIT,5.1519999504089355,1.6160000562667847,8.325632095336914
1043.94,TRANSIT,5.1519999504089355,1.5119999647140503,7.78982400894165
1045.04,TRANSIT,5.1519999504089355,1.6080000400543213,8.284416198730469
1046.04,TRANSIT,5.1519999504089355,1.5440000295639038,7.95468807220459
1046.94,TRANSIT,5.1519999504089355,1.5360000133514404,7.9134721755981445
1047.94,DECISION,5.159999847412109,1.3760000467300415,7.100160121917725
1048.94,DECISION,5.168000221252441,1.2400000095367432,6.40831995010376
1049.94,DECISION,5.159999847412109,1.399999976158142,7.223999977111816
1050.94,DECISION,5.1519999504089355,1.6160000562667847,8.325632095336914
1051.99,DECISION,5.1519999504089355,1.4800000190734863,7.624959945678711
1053.55,STANDBY,5.1519999504089355,1.6399999856948853,8.44927978515625
1053.95,STANDBY,5.1519999504089355,1.656000018119812,8.53171157836914
1055.77,TRANSIT,5.1519999504089355,1.656000018119812,8.53171157836914
1055.97,TRANSIT,5.1519999504089355,1.5360000133514404,7.9134721755981445
1056.95,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
1057.94,TRANSIT,5.1519999504089355,1.503999948501587,7.748608112335205
1058.94,TRANSIT,5.168000221252441,1.2239999771118164,6.325632095336914
1059.94,TRANSIT,5.1519999504089355,1.5360000133514404,7.9134721755981445
1060.94,TRANSIT,5.168000221252441,1.1679999828338623,6.036223888397217
1061.94,TRANSIT,5.168000221252441,1.1360000371932983,5.870848178863525
1062.94,TRANSIT,5.159999847412109,1.2799999713897705,6.604800224304199
1063.94,TRANSIT,5.159999847412109,1.2640000581741333,6.522240161895752
1065.11,DECISION,5.159999847412109,1.343999981880188,6.93503999710083
1065.94,DECISION,5.1519999504089355,1.5440000295639038,7.95468807220459
1066.94,DECISION,5.1519999504089355,1.559999942779541,8.03711986541748
1067.94,DECISION,5.1519999504089355,1.5360000133514404,7.9134721755981445
1069.15,DECISION,5.1519999504089355,1.5440000295639038,7.95468807220459
1070.02,STANDBY,5.1519999504089355,1.600000023841858,8.243200302124023
1070.94,STANDBY,5.1519999504089355,1.6399999856948853,8.44927978515625
1073.11,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1074.01,TRANSIT,5.1519999504089355,1.5839999914169312,8.160767555236816
