[INFO] [1775689691.909037675] [exp6_cnn_detection]: Experiment 6 — CNN Target Recognition starting ...
[INFO] [1775689694.918723781] [exp6_cnn_detection]: 
  Condition: normal  Class: red_cube
[INFO] [1775689694.920480107] [exp6_cnn_detection]:     Set up red_cube at 0.5 m under "normal" lighting. Press Enter ...
[TRTDetector] Engine not found at /home/jetson/models/formica_target_det.trt. Using HSV colour-blob fallback.
[DataLogger] Writing to /home/jetson/formica_experiments/data/exp6_cnn_20260408_230811.csv
[WARN] [1775690805.934114153] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690810.984717210] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690816.032660554] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690821.081649372] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690826.129570813] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690831.168384966] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690836.219134621] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690841.269510048] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690846.323144778] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690851.369076147] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690856.417739473] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690861.466954193] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690866.517492414] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690871.570708285] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690876.620910940] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690881.669692170] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690886.719786704] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690891.769606193] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690896.819878237] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690901.870455165] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690906.920406516] [exp6_cnn_detection]: Camera timeout.
[INFO] [1775690906.945052341] [exp6_cnn_detection]:     P=0.000  R=0.000  F1=0.000  AP=0.000
[INFO] [1775690906.946240910] [exp6_cnn_detection]:     Set up green_cylinder at 2.0 m under "normal" lighting. Press Enter ...
[WARN] [1775690911.975523659] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690917.025397758] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690922.074789957] [exp6_cnn_detection]: Camera timeout.
[WARN] [1775690927.126473914] [exp6_cnn_detection]: Camera timeout.
