time_sec,true_intensity,detected_signal
60.900,73.7492,75.7703
61.000,73.7123,75.7326
61.100,73.6755,74.6176
61.200,73.6387,73.5821
61.300,73.6019,74.4845
61.400,73.5651,69.8458
61.500,73.5283,74.4766
61.600,73.4915,70.9835
61.700,73.4548,74.9982
61.800,73.4181,77.1587
61.900,73.3814,73.6258
62.000,73.3447,74.9694
62.100,73.3080,72.0862
62.200,73.2714,75.4263
62.300,73.2348,72.7036
62.400,73.1982,70.7502
62.500,73.1616,71.9422
62.600,73.1250,75.5298
62.700,73.0884,71.5967
62.800,73.0519,73.1990
62.900,73.0154,73.0987
63.000,72.9789,74.9234
63.100,72.9424,69.1005
63.200,72.9059,71.0052
63.300,72.8695,72.3198
63.400,72.8331,73.4777
63.500,72.7967,78.1863
63.600,72.7603,68.5844
63.700,72.7239,72.0368
63.800,72.6876,69.8890
63.900,72.6512,68.4189
64.000,72.6149,69.8741
64.100,72.5786,70.5895
64.200,72.5423,73.6525
64.300,72.5061,68.2380
64.400,72.4698,73.1386
64.500,72.4336,75.4768
64.600,72.3974,74.4922
64.700,72.3612,70.7856
64.800,72.3250,72.0621
64.900,72.2889,72.6201
65.000,72.2527,74.4319
65.100,72.2166,72.7939
65.200,72.1805,73.1640
65.300,72.1444,74.4112
65.400,72.1084,70.0406
65.500,72.0723,71.6657
65.600,72.0363,72.3182
65.700,72.0003,70.0137
65.800,71.9643,71.3144
65.900,71.9283,70.7755
66.000,71.8924,70.2427
66.100,71.8564,72.9429
66.200,71.8205,74.6682
66.300,71.7846,72.5974
66.400,71.7487,69.6637
66.500,71.7129,68.3280
66.600,71.6770,68.8085
66.700,71.6412,71.3509
66.800,71.6054,71.4111
66.900,71.5696,72.8454
67.000,71.5338,76.0924
67.100,71.4981,70.8378
67.200,71.4623,70.7929
67.300,71.4266,74.3561
67.400,71.3909,68.3367
67.500,71.3552,73.6979
67.600,71.3195,73.2200
67.700,71.2839,74.2979
67.800,71.2482,71.2324
67.900,71.2126,72.8008
68.000,71.1770,72.4139
68.100,71.1415,70.8576
68.200,71.1059,70.2240
68.300,71.0703,70.6408
68.400,71.0348,74.6187
68.500,70.9993,72.6136
68.600,70.9638,74.2383
68.700,70.9283,69.4824
68.800,70.8929,70.9476
68.900,70.8575,71.6092
69.000,70.8220,70.5144
69.100,70.7866,72.3029
69.200,70.7512,70.3800
69.300,70.7159,71.1830
69.400,70.6805,69.7440
69.500,70.6452,73.3664
69.600,70.6099,69.9486
69.700,70.5746,70.6761
69.800,70.5393,72.2671
69.900,70.5041,76.7323
70.000,70.4688,73.6666
70.100,70.4336,74.2150
70.200,70.3984,68.6017
70.300,70.3632,76.5161
70.400,70.3280,72.2108
70.500,70.2929,71.4451
70.600,70.2577,70.9190
70.700,70.2226,70.7268
70.800,70.1875,69.2395
70.900,70.1524,72.6124
71.000,70.1173,72.1544
71.100,70.0823,71.6754
71.200,70.0473,73.0225
71.300,70.0122,71.2929
71.400,69.9772,68.7998
71.500,69.9423,72.8010
71.600,69.9073,63.7600
71.700,69.8724,72.0211
71.800,69.8374,72.3467
71.900,69.8025,69.2737
72.000,69.7676,67.5496
72.100,69.7328,69.4513
72.200,69.6979,67.4522
72.300,69.6631,65.7382
72.400,69.6282,70.8637
72.500,69.5934,68.0646
72.600,69.5586,72.2602
72.700,69.5239,69.6893
72.800,69.4891,65.2332
72.900,69.4544,63.1115
73.000,69.4197,68.8623
73.100,69.3850,68.4896
73.200,69.3503,68.1996
73.300,69.3156,70.2410
73.400,69.2810,66.8387
73.500,69.2463,69.3421
73.600,69.2117,70.2234
73.700,69.1771,66.5250
73.800,69.1425,65.1160
73.900,69.1080,72.5105
74.000,69.0734,66.0167
74.100,69.0389,66.8440
74.200,69.0044,65.7598
74.300,68.9699,68.6381
74.400,68.9354,67.6885
74.500,68.9010,69.1594
74.600,68.8665,71.3742
74.700,68.8321,74.5250
74.800,68.7977,70.1093
74.900,68.7633,67.6154
75.000,68.7289,68.8677
75.100,68.6946,70.2300
75.200,68.6602,69.3578
75.300,68.6259,72.3056
75.400,68.5916,69.0959
75.500,68.5573,67.0076
75.600,68.5231,69.0406
75.700,68.4888,67.0522
75.800,68.4546,67.0277
75.900,68.4203,71.5286
76.000,68.3861,71.6601
76.100,68.3520,69.2245
76.200,68.3178,71.2865
76.300,68.2836,70.8689
76.400,68.2495,67.3179
76.500,68.2154,65.6696
76.600,68.1813,67.4183
76.700,68.1472,65.3714
76.800,68.1131,63.6958
76.900,68.0791,70.0116
77.000,68.0451,67.3502
77.100,68.0110,71.5640
77.200,67.9771,68.8387
77.300,67.9431,73.3973
77.400,67.9091,65.3784
77.500,67.8752,71.8634
77.600,67.8412,73.5453
77.700,67.8073,66.2267
77.800,67.7734,69.3490
77.900,67.7395,63.1888
78.000,67.7057,69.8817
78.100,67.6718,67.0059
78.200,67.6380,66.9998
78.300,67.6042,70.5615
78.400,67.5704,69.5098
78.500,67.5366,67.7011
78.600,67.5029,65.5842
78.700,67.4691,69.6865
78.800,67.4354,66.2559
78.900,67.4017,66.8274
79.000,67.3680,69.2188
79.100,67.3343,67.9523
79.200,67.3007,63.9739
79.300,67.2670,67.8169
79.400,67.2334,65.8901
79.500,67.1998,66.4504
79.600,67.1662,65.8579
79.700,67.1326,65.7894
79.800,67.0991,67.9148
79.900,67.0655,67.3024
80.000,67.0320,67.0411
80.100,66.9985,64.2146
80.200,66.9650,68.4250
80.300,66.9315,66.3238
80.400,66.8981,63.5311
80.500,66.8646,68.3595
80.600,66.8312,69.5366
80.700,66.7978,65.9669
80.800,66.7644,66.5888
80.900,66.7310,67.8254
81.000,66.6977,64.7576
81.100,66.6643,65.8662
81.200,66.6310,65.3430
81.300,66.5977,67.6114
81.400,66.5644,64.5277
81.500,66.5311,65.6815
81.600,66.4979,71.4703
81.700,66.4646,61.9096
81.800,66.4314,60.6237
81.900,66.3982,64.6695
82.000,66.3650,66.9208
82.100,66.3319,64.3808
82.200,66.2987,63.0783
82.300,66.2656,65.2399
82.400,66.2324,66.6742
82.500,66.1993,66.4454
82.600,66.1662,65.9987
82.700,66.1332,67.1814
82.800,66.1001,63.2858
82.900,66.0671,67.4480
83.000,66.0340,65.6854
83.100,66.0010,65.5716
83.200,65.9680,66.5924
83.300,65.9351,65.2307
83.400,65.9021,66.8662
83.500,65.8691,64.3327
83.600,65.8362,64.4850
83.700,65.8033,68.3486
83.800,65.7704,68.6905
83.900,65.7375,65.6277
84.000,65.7047,67.3115
84.100,65.6718,64.8167
84.200,65.6390,67.3487
84.300,65.6062,65.3184
84.400,65.5734,65.6516
84.500,65.5406,62.5339
84.600,65.5079,63.5663
84.700,65.4751,66.9799
84.800,65.4424,63.2127
84.900,65.4097,64.7413
85.000,65.3770,68.1042
85.100,65.3443,65.5704
85.200,65.3116,61.2600
85.300,65.2790,65.2473
85.400,65.2464,63.3169
85.500,65.2137,64.5905
85.600,65.1811,62.4116
85.700,65.1486,64.1045
85.800,65.1160,70.3967
85.900,65.0834,65.9537
86.000,65.0509,66.7091
86.100,65.0184,66.6898
86.200,64.9859,66.2036
86.300,64.9534,69.1750
86.400,64.9209,65.8012
86.500,64.8885,65.5469
86.600,64.8560,63.5212
86.700,64.8236,67.3804
86.800,64.7912,65.9150
86.900,64.7588,60.8124
87.000,64.7265,62.1126
87.100,64.6941,66.0946
87.200,64.6618,63.1158
87.300,64.6294,70.3286
87.400,64.5971,69.9532
87.500,64.5649,60.7262
87.600,64.5326,70.3328
87.700,64.5003,65.2446
87.800,64.4681,65.9734
87.900,64.4359,65.5440
88.000,64.4036,64.3356
88.100,64.3714,65.2922
88.200,64.3393,63.6718
88.300,64.3071,62.8423
88.400,64.2750,68.5826
88.500,64.2428,63.5603
88.600,64.2107,64.8260
88.700,64.1786,58.6397
88.800,64.1465,60.6700
88.900,64.1145,65.0903
89.000,64.0824,63.8099
89.100,64.0504,68.8413
89.200,64.0184,63.8323
89.300,63.9864,62.9779
89.400,63.9544,63.2422
89.500,63.9224,63.8733
89.600,63.8905,67.2169
89.700,63.8585,63.9980
89.800,63.8266,66.6734
89.900,63.7947,60.4439
90.000,63.7628,61.4554
90.100,63.7309,63.1449
90.200,63.6991,64.7959
90.300,63.6672,61.6709
90.400,63.6354,61.5142
90.500,63.6036,67.4623
90.600,63.5718,63.3544
90.700,63.5400,62.3276
90.800,63.5083,64.8752
90.900,63.4765,63.6953
91.000,63.4448,62.5027
91.100,63.4131,61.2166
91.200,63.3814,66.9954
91.300,63.3497,62.4806
91.400,63.3180,63.7550
91.500,63.2864,65.1026
91.600,63.2547,62.2205
91.700,63.2231,61.7183
91.800,63.1915,59.1138
91.900,63.1599,62.1111
92.000,63.1284,63.4913
92.100,63.0968,60.8082
92.200,63.0653,58.3472
92.300,63.0337,59.0808
92.400,63.0022,65.7962
92.500,62.9707,65.9454
92.600,62.9393,61.8915
92.700,62.9078,60.9373
92.800,62.8764,63.3045
92.900,62.8449,62.0029
93.000,62.8135,66.0461
93.100,62.7821,61.7693
93.200,62.7507,66.0499
93.300,62.7194,65.1762
93.400,62.6880,64.2024
93.500,62.6567,62.5725
93.600,62.6254,61.7254
93.700,62.5940,63.5256
93.800,62.5628,60.5448
93.900,62.5315,61.5342
94.000,62.5002,61.0082
94.100,62.4690,62.7085
94.200,62.4378,65.3889
94.300,62.4065,60.9361
94.400,62.3754,62.6411
94.500,62.3442,61.2957
94.600,62.3130,65.7329
94.700,62.2819,62.0886
94.800,62.2507,61.4807
94.900,62.2196,66.3507
95.000,62.1885,60.5714
95.100,62.1574,61.9352
95.200,62.1263,61.5088
95.300,62.0953,56.3190
95.400,62.0643,60.4765
95.500,62.0332,59.9622
95.600,62.0022,61.4573
95.700,61.9712,62.8401
95.800,61.9402,60.6395
95.900,61.9093,61.9559
96.000,61.8783,61.2422
96.100,61.8474,62.7886
96.200,61.8165,60.0017
96.300,61.7856,60.4218
96.400,61.7547,62.7279
96.500,61.7238,63.8174
96.600,61.6930,62.2797
96.700,61.6621,61.6320
96.800,61.6313,61.0188
96.900,61.6005,61.2108
97.000,61.5697,62.8757
97.100,61.5389,63.5714
97.200,61.5082,64.5494
97.300,61.4774,61.3288
97.400,61.4467,62.6790
97.500,61.4160,62.3274
97.600,61.3853,57.3660
97.700,61.3546,63.1947
97.800,61.3239,60.8989
97.900,61.2933,60.5657
98.000,61.2626,60.2993
98.100,61.2320,61.7022
98.200,61.2014,57.5728
98.300,61.1708,60.7983
98.400,61.1402,60.2570
98.500,61.1097,64.0804
98.600,61.0791,63.9837
98.700,61.0486,64.1576
98.800,61.0181,63.9109
98.900,60.9876,59.7045
99.000,60.9571,61.8590
99.100,60.9266,61.6542
99.200,60.8962,62.2094
